# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(3335856434/450241,193054856258479/302111711)
(-718337576/1946025,107972405775593/2714704875)
(1156774426/3374569,253517620248693/6199083253)
(1529136844/1863225,118883251783297/2543302125)
(-48189713/2253001,136624209071880/3381754501)
(6388086826/469225,510736189803051/321419125)
(-1900484498/1979649,76149869087881/2785366143)
(3115493158/3345241,302228366064693/6118445789)
(-2561055128/3644281,249396876925185/6956932429)
(-3254550548/3621409,207475736418261/6891541327)
(2440254329/313600,120754567970483/175616000)
(-639626878/2301289,140109662659621/3491055413)
(1029876593/1359556,72069726236503/1585242296)
(-3803290298/3845521,194434729870575/7541066681)
(7708395034/5041,676777550977929/357911)
(-1720694882/4084441,325764492231237/8254655261)
(2444441411/485809,121628110568738/338608873)
(770286067/2666689,177226398180366/4354703137)
(62505872/2531281,162704448837635/4027268071)
(4126013881/1420864,273721062709203/1693669888)
(7901655556/889249,703204647167787/838561807)
(5078868091/444889,362150001881658/296740963)
(2323700297/925444,117646440066661/890277128)
(-1179874988/2614689,165933833386411/4227952113)
(1911220699/1265625,101440521215918/1423828125)
(878157248/2686321,179772085213997/4402880119)
(997507408/4713241,414594816044943/10232446211)
(4672018136/616225,319939989732491/483736625)
(8300171398/851929,756856419150645/786330467)
(-187183781/3024121,212448701248326/5258946419)
(-1647026477/1640961,52386358978682/2102071041)
(-1463824039/1684804,68331741796733/2186875592)
(5293734562/149769,385168948292501/57960603)
(821921563/3136441,225643935719322/5554637011)
(4747357628/923521,329057355634213/887503681)
(-2750292284/4950625,420995159734389/11015140625)
(7861231558/2337841,711808510030593/3574558889)
(2288513128/5193841,490583008745133/11836763639)
(9322523956/874225,900725264091021/817400375)
(8765759566/1677025,825376538539239/2171747375)
(5101537136/1075369,367152211555223/1115157653)
(-3324674327/3247204,138335745793515/5851461608)
(5784626312/421201,440098356233155/273359449)
(6157738387/667489,483707497161186/545338513)
(4176396424/2223081,301294466584649/3314613771)
(-155177984/5793649,563394496676307/13945313143)
(2769412546/3080025,262547940144781/5405443875)
(-557462687/2178576,129242526893713/3215578176)
(816776578/3470769,262272298254535/6466042647)
(4378395604/5612161,610284799890789/13295209409)
(2488334321/1669264,151654736761673/2156689088)
(2368123321/1742400,148035672525869/2299968000)
(10843892872/919681,1129780135136325/881974079)
(2638701593/1669264,161134976985475/2156689088)
(2444308936/3404025,281040980293441/6280426125)
(-2531106332/3538161,236810437566733/6655280841)
(-313167748/3751969,293561008621141/7267563953)
(-2488849487/2178576,38210096228887/3215578176)
(10787874376/1857769,1125139545470007/2532139147)
(4226648273/568516,275330911272377/428661064)
(5702526247/2666689,465178994192196/4354703137)
(207673406/4133089,339481332626503/8402569937)
(3295386979/1703025,209400078055942/2222447625)
(3464444932/3674889,350122231586969/7044762213)
(4950513527/223729,348343803597596/105823817)
(-2447666503/2611456,120017947941805/4220112896)
(-3640839359/4752400,356271616510689/10360232000)
(8598427804/251001,797328687330719/125751501)
(5639280632/3308761,488326061828335/6018636259)
(1081136324/4844401,432235839881011/10662526601)
(772805998/4941729,444338033194745/10985463567)
(-8950602188/7912969,302732055351399/22259181797)
(9835398409/414736,975471327105381/267089984)
(-4158843743/5207524,398204665711761/11883569768)
(-1855854436/4977361,441445845782749/11104492391)
(3733239694/8579041,1040495137854489/25128011089)
(6044269001/88804,469912286847397/26463592)
(9798969994/6561,969997559956721/531441)
(3005915242/8958049,1095661234513071/26811440657)
(10039080524/6241,1005867802399819/493039)
(-3237297319/3168400,134119092100829/5639752000)
(-8653306904/8922169,715062347502303/26650518803)
(6021283721/719104,467882196518363/609800192)
(6253546897/5134756,682294992366375/11635357096)
(5650180654/9765625,1304026658781333/30517578125)
(10563295028/638401,1085868755466043/510082399)
(19456538926/180625,2713930141850049/76765625)
(-2657189401/3690241,251519258807644/7088952961)
(3624647986/5832225,609442937887391/14084823375)
(7085180467/5303809,774077558643474/12214672127)
(7143397769/430336,603857862359771/282300416)
(9549321823/4313929,1000917066807900/8960030533)
(10896378716/1890625,1142264882360389/2599609375)
(7932380207/4489,706488803292856/300763)
(8277499393/5541316,919169639454687/13044257864)
(-12717997652/10817521,94990144347597/35578826569)
(4033462708/12271009,1755421152915285/42985344527)
(24255829336/25,3777671523442959/125)
(-13146035846/12117361,795068342278761/42180533641)
(-7942637606/12880921,1728363495050301/46229625469)
(8187073463/1117249,742321249142360/1180932193)
(374537948/7689529,861493227129985/21323063917)
(1222998698/7890481,896472414336937/22164361129)
(-12724489826/12880921,1195010383201371/46229625469)
(494163382/13965169,2108444015927679/52187836553)
(25235039134/1366561,4009241830417881/1597509809)
(2917723969/4901796,465915246393601/10852576344)
(15188123842/385641,1871811004749605/239483061)
(26940365896/508369,4421886757862403/362467097)
(15799695496/11025,1985971791704669/1157625)
(26674304284/1164241,4356815001372579/1256216039)
